# Pollination. Monolayer form.
	Hemaris.tityus	Iphiclides.podalirius	Vanessa.cardui	Psithyrus.vestalis.obenbergeri	Bombus.pratorum(m)	Bombus.pratorum(wk)	Bombus.pascuorum(wk)	Bombus.pascuorum(q)	Bombus.terrestris(wk)	Bombus.terrestris(q)	Xylocopa.violacea	Apis.mellifera	Osmia.rufa	Andrena.fulva	Andrena.synadelpha/nigroaenea	Andrena.trimmerana	Andrena.congruens	Andrena.tibialis.corvina	Andrena.albopunctata/morio	Andrena.assimilis	Halictus.quadricinctus	Halictus.tridivisus	Halictus.scabiosae	Lasioglossum.xanthopum	Sphecodes.gibbus	Megachile.centuncularis	Ancistrocerus.nigricornis	Eristalis.tenax	Eristalis.pratorum	Eristalis.arbustorum	Cheilosia.glossa	Mallota.fuciformis	Dasysyrphus.albostriatus	Syrphus.vitripennis	Syrphus.ribessi	Criorhina.berberina	Calliphora.vomitoria	Gonia.ornata	Pollenia.rudis	Tachina.corsicana	Asilidae.n.i.	Empididae.n.i.	Diptera.n.i.
1933	0	1	1	0	0	0	0	0	2	0	0	1	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0
1931	0	0	0	3	2	6	0	1	6	1	1	4	2	112	5	2	18	1	2	3	2	0	2	0	0	0	0	6	0	2	0	0	0	0	0	0	16	1	0	0	0	2	0
1932	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	6	7	4	1	8	1	1	98	21	10	4	15	41	3
1934	0	0	0	0	0	0	0	0	2	0	0	0	0	28	0	0	0	0	1	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	1	0
1936	0	1	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	2	1	2	2	0	0	32	8	3	0	10	8	0
1937	0	0	0	0	0	0	0	0	1	0	0	1	0	34	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0
1938	0	0	0	1	0	4	1	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	2	0	0	2	0	0	49	1	7	0	0	0	0
1939	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	3	6	0	1	1	1	0	66	50	2	2	9	32	2
1940	0	0	0	0	0	5	1	0	8	1	2	3	4	96	1	1	14	0	1	0	1	1	1	0	2	1	1	0	0	3	0	0	0	0	0	0	166	2	0	0	0	1	0
1921	1	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	29	22	2	0	0	11	0
1823	0	0	0	0	0	0	0	0	5	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	1	0	0	3	0	1	15	11	2	0	7	9	0
1824	0	0	0	0	0	0	0	0	1	0	0	1	0	56	0	0	0	0	1	0	1	0	0	0	0	0	0	57	3	3	7	0	0	0	0	0	3	2	0	0	0	0	0
1820	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	1	0	0	22	1	2	0	2	3	0
1825	0	0	0	0	0	0	0	0	4	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
1929	0	0	0	0	0	0	0	0	0	0	1	1	0	32	0	1	5	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	8	2	4	0	0	0	0
8801	0	0	0	0	0	0	0	0	3	0	0	0	0	13	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
8808	0	0	0	0	0	0	0	0	2	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	23	2	5	0	4	2	0
8814	0	0	0	0	0	0	0	0	1	0	1	2	0	45	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
8865	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	18	6	12	1	9	3	0
